displayValue,id,headline,headlineV2/text
Chiropractors,2048,Chiropractors,Chiropractors
Defense and Space Manufacturing,1,Defense and Space Manufacturing,Defense and Space Manufacturing
Optometrists,2050,Optometrists,Optometrists
Computer Hardware Manufacturing,3,Computer Hardware Manufacturing,Computer Hardware Manufacturing
Software Development,4,Software Development,Software Development
Computer Networking Products,5,Computer Networking Products,Computer Networking Products
Transportation Equipment Manufacturing,1029,Transportation Equipment Manufacturing,Transportation Equipment Manufacturing
"Technology, Information and Internet",6,"Technology, Information and Internet","Technology, Information and Internet"
Internet Publishing,6,Internet Publishing,Internet Publishing
"Physical, Occupational and Speech Therapists",2054,"Physical, Occupational and Speech Therapists","Physical, Occupational and Speech Therapists"
Semiconductor Manufacturing,7,Semiconductor Manufacturing,Semiconductor Manufacturing
Telecommunications,8,Telecommunications,Telecommunications
Law Practice,9,Law Practice,Law Practice
Housing Programs,3081,Housing Programs,Housing Programs
Legal Services,10,Legal Services,Legal Services
Business Consulting and Services,11,Business Consulting and Services,Business Consulting and Services
Biotechnology Research,12,Biotechnology Research,Biotechnology Research
Family Planning Centers,2060,Family Planning Centers,Family Planning Centers
Medical Practices,13,Medical Practices,Medical Practices
Transportation Programs,3085,Transportation Programs,Transportation Programs
Hospitals and Health Care,14,Hospitals and Health Care,Hospitals and Health Care
Utilities Administration,3086,Utilities Administration,Utilities Administration
Pharmaceutical Manufacturing,15,Pharmaceutical Manufacturing,Pharmaceutical Manufacturing
Outpatient Care Centers,2063,Outpatient Care Centers,Outpatient Care Centers
Veterinary Services,16,Veterinary Services,Veterinary Services
Medical Equipment Manufacturing,17,Medical Equipment Manufacturing,Medical Equipment Manufacturing
Space Research and Technology,3089,Space Research and Technology,Space Research and Technology
Motor Vehicle Parts Manufacturing,1042,Motor Vehicle Parts Manufacturing,Motor Vehicle Parts Manufacturing
Personal Care Product Manufacturing,18,Personal Care Product Manufacturing,Personal Care Product Manufacturing
Retail Apparel and Fashion,19,Retail Apparel and Fashion,Retail Apparel and Fashion
Sporting Goods Manufacturing,20,Sporting Goods Manufacturing,Sporting Goods Manufacturing
Tobacco Manufacturing,21,Tobacco Manufacturing,Tobacco Manufacturing
Medical and Diagnostic Laboratories,2069,Medical and Diagnostic Laboratories,Medical and Diagnostic Laboratories
Retail Groceries,22,Retail Groceries,Retail Groceries
Food and Beverage Manufacturing,23,Food and Beverage Manufacturing,Food and Beverage Manufacturing
Oil Extraction,3095,Oil Extraction,Oil Extraction
Computers and Electronics Manufacturing,24,Computers and Electronics Manufacturing,Computers and Electronics Manufacturing
Natural Gas Extraction,3096,Natural Gas Extraction,Natural Gas Extraction
Manufacturing,25,Manufacturing,Manufacturing
